run_name,arm,repeat,arm_family,model,setting,messaging_mode,message_schema,n_rows,n_evals,n_both_passed,n_merge_clean,n_conflicts,n_errors,total_cost,started_at,completed_at,csv
nano_control_13,nano_control,13,coop_nogit,claude-sonnet-5,coop,,,20,20,3,3,17,0,19.485332100000004,2026-07-04T01:12:26.530309,2026-07-04T01:55:35.113421,nano_control_13.csv
nano_control_14,nano_control,14,coop_nogit,claude-sonnet-5,coop,,,20,20,1,2,18,0,20.8345143,2026-07-04T02:47:45.044194,2026-07-04T03:29:39.123030,nano_control_14.csv
nano_control_15,nano_control,15,coop_nogit,claude-sonnet-5,coop,,,20,20,3,3,17,0,19.5230241,2026-07-04T04:17:04.894024,2026-07-04T05:02:02.214381,nano_control_15.csv
nano_control_2,nano_control,2,coop_nogit,claude-sonnet-5,coop,,,20,20,2,2,18,0,18.013703099999997,2026-07-03T00:40:11.375469,2026-07-03T01:19:59.451093,nano_control_2.csv
nano_control_3,nano_control,3,coop_nogit,claude-sonnet-5,coop,,,20,20,3,3,17,0,19.6684979,2026-07-03T02:07:19.115112,2026-07-03T02:48:08.569247,nano_control_3.csv
nano_control_4,nano_control,4,coop_nogit,claude-sonnet-5,coop,,,20,20,2,3,17,0,20.200796399999998,2026-07-03T03:34:34.787521,2026-07-03T04:13:45.436069,nano_control_4.csv
nano_control_5,nano_control,5,coop_nogit,claude-sonnet-5,coop,,,20,20,0,20,0,0,0.0,2026-07-03T04:32:51.489992,2026-07-03T04:57:02.800527,nano_control_5.csv
nano_control_6,nano_control,6,coop_nogit,claude-sonnet-5,coop,,,20,20,2,2,18,0,20.498738700000004,2026-07-03T08:52:04.334122,2026-07-03T09:38:18.294162,nano_control_6.csv
nano_control_7,nano_control,7,coop_nogit,claude-sonnet-5,coop,,,20,20,3,3,17,0,20.3548827,2026-07-03T10:27:12.514798,2026-07-03T11:08:47.894561,nano_control_7.csv
nano_control_8,nano_control,8,coop_nogit,claude-sonnet-5,coop,,,20,20,1,1,19,0,19.916401399999998,2026-07-03T11:48:35.593785,2026-07-03T12:31:49.240779,nano_control_8.csv
nano_control_9,nano_control,9,coop_nogit,claude-sonnet-5,coop,,,20,20,2,3,17,0,19.2894543,2026-07-03T13:17:55.258662,2026-07-03T14:03:08.358341,nano_control_9.csv
nano_dc_1,nano_dc,1,coop_nogit,claude-sonnet-5,coop,structured,"{'name': 'designated_coder_v1', 'instructions': ""Coordinate in THREE STRICT PHASES. Do NOT edit any file until Phase 2 is agreed.\n\nPHASE 1 — DISCOVER SHARED FILES (messages only, NO editing yet):\n1. Immediately send a SURVEY: `files` = every file (and, in `note`, the specific\n   function(s)) YOUR feature must edit. Be exhaustive and precise.\n2. Run `coop-await` — it BLOCKS until your partner replies — to read their SURVEY.\n3. Intersect the two file lists. The intersection is your SHARED files; everything\n   else is yours alone.\n\nPHASE 2 — ASSIGN A SINGLE OWNER PER SHARED FILE (still NO editing):\n4. For EACH shared file, agree exactly ONE owner. Send CLAIM (`files` = the shared\n   file(s) you will OWN and write) or DEFER (`files` = the shared file(s) you hand\n   to your partner). Every shared file must end up with exactly one owner.\n5. If you DEFER a file, you MUST send a SPEC for it: `files` = that file, `spec` =\n   a precise, self-contained description of exactly what YOUR feature needs done in\n   it (signatures, parameters, behaviour, return values, edge cases) — enough for\n   the owner to implement your feature correctly without seeing your tests.\n6. `coop-await` and repeat until every shared file has one owner AND every deferred\n   file has a delivered SPEC that its owner has ACKNOWLEDGED (reply CLAIM echoing it).\n\nPHASE 3 — IMPLEMENT:\n7. Edit ONLY: your own (non-shared) files, plus the shared files you OWN. In each\n   file you own that is shared, implement BOTH your feature AND your partner's SPEC.\n8. Do NOT touch any shared file you deferred — leave it entirely to its owner.\n9. Send DONE when finished.\n\nThe whole point: every shared file is written by exactly one agent, so independent\npatches never collide there; the deferring agent's needs travel as a SPEC instead\nof as conflicting edits.\n"", 'fields': [{'name': 'type', 'required': True, 'enum': ['SURVEY', 'CLAIM', 'DEFER', 'SPEC', 'DONE'], 'description': 'coordination message type'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files this message is about (all files you touch, for SURVEY; the owned/deferred file, for CLAIM/DEFER/SPEC)'}, {'name': 'spec', 'required': False, 'enum': None, 'description': 'when DEFERring, a precise self-contained description of what your feature needs done in that file, for the owner to implement'}, {'name': 'note', 'required': False, 'enum': None, 'description': 'optional short rationale or the function name(s) involved'}]}",20,20,12,4,16,0,37.10219549999999,2026-07-08T10:33:53.931216,2026-07-08T11:41:52.470861,nano_dc_1.csv
nano_dc_2,nano_dc,2,coop_nogit,claude-sonnet-5,coop,structured,"{'name': 'designated_coder_v1', 'instructions': ""Coordinate in THREE STRICT PHASES. Do NOT edit any file until Phase 2 is agreed.\n\nPHASE 1 — DISCOVER SHARED FILES (messages only, NO editing yet):\n1. Immediately send a SURVEY: `files` = every file (and, in `note`, the specific\n   function(s)) YOUR feature must edit. Be exhaustive and precise.\n2. Run `coop-await` — it BLOCKS until your partner replies — to read their SURVEY.\n3. Intersect the two file lists. The intersection is your SHARED files; everything\n   else is yours alone.\n\nPHASE 2 — ASSIGN A SINGLE OWNER PER SHARED FILE (still NO editing):\n4. For EACH shared file, agree exactly ONE owner. Send CLAIM (`files` = the shared\n   file(s) you will OWN and write) or DEFER (`files` = the shared file(s) you hand\n   to your partner). Every shared file must end up with exactly one owner.\n5. If you DEFER a file, you MUST send a SPEC for it: `files` = that file, `spec` =\n   a precise, self-contained description of exactly what YOUR feature needs done in\n   it (signatures, parameters, behaviour, return values, edge cases) — enough for\n   the owner to implement your feature correctly without seeing your tests.\n6. `coop-await` and repeat until every shared file has one owner AND every deferred\n   file has a delivered SPEC that its owner has ACKNOWLEDGED (reply CLAIM echoing it).\n\nPHASE 3 — IMPLEMENT:\n7. Edit ONLY: your own (non-shared) files, plus the shared files you OWN. In each\n   file you own that is shared, implement BOTH your feature AND your partner's SPEC.\n8. Do NOT touch any shared file you deferred — leave it entirely to its owner.\n9. Send DONE when finished.\n\nThe whole point: every shared file is written by exactly one agent, so independent\npatches never collide there; the deferring agent's needs travel as a SPEC instead\nof as conflicting edits.\n"", 'fields': [{'name': 'type', 'required': True, 'enum': ['SURVEY', 'CLAIM', 'DEFER', 'SPEC', 'DONE'], 'description': 'coordination message type'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files this message is about (all files you touch, for SURVEY; the owned/deferred file, for CLAIM/DEFER/SPEC)'}, {'name': 'spec', 'required': False, 'enum': None, 'description': 'when DEFERring, a precise self-contained description of what your feature needs done in that file, for the owner to implement'}, {'name': 'note', 'required': False, 'enum': None, 'description': 'optional short rationale or the function name(s) involved'}]}",20,20,12,3,17,0,38.986575599999995,2026-07-08T11:41:52.480210,2026-07-08T12:52:30.955669,nano_dc_2.csv
nano_dc_3,nano_dc,3,coop_nogit,claude-sonnet-5,coop,structured,"{'name': 'designated_coder_v1', 'instructions': ""Coordinate in THREE STRICT PHASES. Do NOT edit any file until Phase 2 is agreed.\n\nPHASE 1 — DISCOVER SHARED FILES (messages only, NO editing yet):\n1. Immediately send a SURVEY: `files` = every file (and, in `note`, the specific\n   function(s)) YOUR feature must edit. Be exhaustive and precise.\n2. Run `coop-await` — it BLOCKS until your partner replies — to read their SURVEY.\n3. Intersect the two file lists. The intersection is your SHARED files; everything\n   else is yours alone.\n\nPHASE 2 — ASSIGN A SINGLE OWNER PER SHARED FILE (still NO editing):\n4. For EACH shared file, agree exactly ONE owner. Send CLAIM (`files` = the shared\n   file(s) you will OWN and write) or DEFER (`files` = the shared file(s) you hand\n   to your partner). Every shared file must end up with exactly one owner.\n5. If you DEFER a file, you MUST send a SPEC for it: `files` = that file, `spec` =\n   a precise, self-contained description of exactly what YOUR feature needs done in\n   it (signatures, parameters, behaviour, return values, edge cases) — enough for\n   the owner to implement your feature correctly without seeing your tests.\n6. `coop-await` and repeat until every shared file has one owner AND every deferred\n   file has a delivered SPEC that its owner has ACKNOWLEDGED (reply CLAIM echoing it).\n\nPHASE 3 — IMPLEMENT:\n7. Edit ONLY: your own (non-shared) files, plus the shared files you OWN. In each\n   file you own that is shared, implement BOTH your feature AND your partner's SPEC.\n8. Do NOT touch any shared file you deferred — leave it entirely to its owner.\n9. Send DONE when finished.\n\nThe whole point: every shared file is written by exactly one agent, so independent\npatches never collide there; the deferring agent's needs travel as a SPEC instead\nof as conflicting edits.\n"", 'fields': [{'name': 'type', 'required': True, 'enum': ['SURVEY', 'CLAIM', 'DEFER', 'SPEC', 'DONE'], 'description': 'coordination message type'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files this message is about (all files you touch, for SURVEY; the owned/deferred file, for CLAIM/DEFER/SPEC)'}, {'name': 'spec', 'required': False, 'enum': None, 'description': 'when DEFERring, a precise self-contained description of what your feature needs done in that file, for the owner to implement'}, {'name': 'note', 'required': False, 'enum': None, 'description': 'optional short rationale or the function name(s) involved'}]}",20,18,8,5,13,2,40.9117206,2026-07-08T12:52:30.962555,2026-07-08T14:05:55.789333,nano_dc_3.csv
nano_dc_4,nano_dc,4,coop_nogit,claude-sonnet-5,coop,structured,"{'name': 'designated_coder_v1', 'instructions': ""Coordinate in THREE STRICT PHASES. Do NOT edit any file until Phase 2 is agreed.\n\nPHASE 1 — DISCOVER SHARED FILES (messages only, NO editing yet):\n1. Immediately send a SURVEY: `files` = every file (and, in `note`, the specific\n   function(s)) YOUR feature must edit. Be exhaustive and precise.\n2. Run `coop-await` — it BLOCKS until your partner replies — to read their SURVEY.\n3. Intersect the two file lists. The intersection is your SHARED files; everything\n   else is yours alone.\n\nPHASE 2 — ASSIGN A SINGLE OWNER PER SHARED FILE (still NO editing):\n4. For EACH shared file, agree exactly ONE owner. Send CLAIM (`files` = the shared\n   file(s) you will OWN and write) or DEFER (`files` = the shared file(s) you hand\n   to your partner). Every shared file must end up with exactly one owner.\n5. If you DEFER a file, you MUST send a SPEC for it: `files` = that file, `spec` =\n   a precise, self-contained description of exactly what YOUR feature needs done in\n   it (signatures, parameters, behaviour, return values, edge cases) — enough for\n   the owner to implement your feature correctly without seeing your tests.\n6. `coop-await` and repeat until every shared file has one owner AND every deferred\n   file has a delivered SPEC that its owner has ACKNOWLEDGED (reply CLAIM echoing it).\n\nPHASE 3 — IMPLEMENT:\n7. Edit ONLY: your own (non-shared) files, plus the shared files you OWN. In each\n   file you own that is shared, implement BOTH your feature AND your partner's SPEC.\n8. Do NOT touch any shared file you deferred — leave it entirely to its owner.\n9. Send DONE when finished.\n\nThe whole point: every shared file is written by exactly one agent, so independent\npatches never collide there; the deferring agent's needs travel as a SPEC instead\nof as conflicting edits.\n"", 'fields': [{'name': 'type', 'required': True, 'enum': ['SURVEY', 'CLAIM', 'DEFER', 'SPEC', 'DONE'], 'description': 'coordination message type'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files this message is about (all files you touch, for SURVEY; the owned/deferred file, for CLAIM/DEFER/SPEC)'}, {'name': 'spec', 'required': False, 'enum': None, 'description': 'when DEFERring, a precise self-contained description of what your feature needs done in that file, for the owner to implement'}, {'name': 'note', 'required': False, 'enum': None, 'description': 'optional short rationale or the function name(s) involved'}]}",20,20,15,6,14,0,35.834409,2026-07-08T14:05:55.796254,2026-07-08T15:12:34.756388,nano_dc_4.csv
nano_dc_5,nano_dc,5,coop_nogit,claude-sonnet-5,coop,structured,"{'name': 'designated_coder_v1', 'instructions': ""Coordinate in THREE STRICT PHASES. Do NOT edit any file until Phase 2 is agreed.\n\nPHASE 1 — DISCOVER SHARED FILES (messages only, NO editing yet):\n1. Immediately send a SURVEY: `files` = every file (and, in `note`, the specific\n   function(s)) YOUR feature must edit. Be exhaustive and precise.\n2. Run `coop-await` — it BLOCKS until your partner replies — to read their SURVEY.\n3. Intersect the two file lists. The intersection is your SHARED files; everything\n   else is yours alone.\n\nPHASE 2 — ASSIGN A SINGLE OWNER PER SHARED FILE (still NO editing):\n4. For EACH shared file, agree exactly ONE owner. Send CLAIM (`files` = the shared\n   file(s) you will OWN and write) or DEFER (`files` = the shared file(s) you hand\n   to your partner). Every shared file must end up with exactly one owner.\n5. If you DEFER a file, you MUST send a SPEC for it: `files` = that file, `spec` =\n   a precise, self-contained description of exactly what YOUR feature needs done in\n   it (signatures, parameters, behaviour, return values, edge cases) — enough for\n   the owner to implement your feature correctly without seeing your tests.\n6. `coop-await` and repeat until every shared file has one owner AND every deferred\n   file has a delivered SPEC that its owner has ACKNOWLEDGED (reply CLAIM echoing it).\n\nPHASE 3 — IMPLEMENT:\n7. Edit ONLY: your own (non-shared) files, plus the shared files you OWN. In each\n   file you own that is shared, implement BOTH your feature AND your partner's SPEC.\n8. Do NOT touch any shared file you deferred — leave it entirely to its owner.\n9. Send DONE when finished.\n\nThe whole point: every shared file is written by exactly one agent, so independent\npatches never collide there; the deferring agent's needs travel as a SPEC instead\nof as conflicting edits.\n"", 'fields': [{'name': 'type', 'required': True, 'enum': ['SURVEY', 'CLAIM', 'DEFER', 'SPEC', 'DONE'], 'description': 'coordination message type'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files this message is about (all files you touch, for SURVEY; the owned/deferred file, for CLAIM/DEFER/SPEC)'}, {'name': 'spec', 'required': False, 'enum': None, 'description': 'when DEFERring, a precise self-contained description of what your feature needs done in that file, for the owner to implement'}, {'name': 'note', 'required': False, 'enum': None, 'description': 'optional short rationale or the function name(s) involved'}]}",20,20,14,4,16,0,37.638360899999995,2026-07-08T15:12:34.763193,2026-07-08T16:19:32.850728,nano_dc_5.csv
nano_free_git_1,nano_free_git,1,coop_git,claude-sonnet-5,coop,free,,20,20,13,9,11,0,37.5287709,2026-07-07T14:56:41.423697,2026-07-07T15:55:19.529652,nano_free_git_1.csv
nano_free_git_2,nano_free_git,2,coop_git,claude-sonnet-5,coop,free,,20,20,17,14,6,0,40.778957099999985,2026-07-07T15:55:21.012357,2026-07-07T16:59:25.077069,nano_free_git_2.csv
nano_free_git_3,nano_free_git,3,coop_git,claude-sonnet-5,coop,free,,20,20,17,9,11,0,39.562059399999995,2026-07-07T16:59:26.626474,2026-07-07T17:57:26.010005,nano_free_git_3.csv
nano_free_git_4,nano_free_git,4,coop_git,claude-sonnet-5,coop,free,,20,20,17,11,9,0,37.1555241,2026-07-07T17:57:27.511553,2026-07-07T18:56:40.441756,nano_free_git_4.csv
nano_free_git_5,nano_free_git,5,coop_git,claude-sonnet-5,coop,free,,20,20,18,8,12,0,42.6751131,2026-07-07T18:56:41.986544,2026-07-07T20:00:24.206372,nano_free_git_5.csv
